States,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021
South Dakota,186324,186707,189979,193978,198905,206243,211458,213168,213680,217047,221398,226056,232966,241971,244353,245286,248205,251987,256112,261798,267282,268972,269800,274493,279590,286727,294506,300563,303587,304480,308289
Tennessee,903477,911906,943375,965429,990140,1015188,1041609,1058354,1064302,1091669,1123145,1161962,1201964,1238369,1260166,1265605,1300220,1334622,1361297,1394341,1432648,1452601,1461295,1495500,1531296,1573735,1612374,1647245,1669271,1677569,1711847
Texas,3533100,3735197,3850248,3955205,4098216,4246954,4313322,4406573,4574899,4740604,4893813,5100346,5293079,5417558,5509231,5601318,5750589,5912169,6052656,6195559,6320852,6390503,6467491,6453836,6642893,6819423,6969269,7099537,7211223,7336199,7476870
Utah,391925,406252,422402,422649,456278,482088,482511,483105,512666,529210,529682,562291,587893,611477,612437,626747,639360,649591,649947,650394,696065,696212,709295,722387,744143,744430,783522,783973,784153,813926,814168
Vermont,107238,109213,110313,111890,114893,118292,122891,126974,130466,132811,135916,139766,149120,149158,153973,156682,158711,162595,167409,172303,177451,179725,183362,185840,188433,192146,196126,199645,203266,206956,209145
Virginia,1379963,1402684,1431797,1469462,1503158,1533362,1567671,1591745,1642937,1684219,1730680,1776967,1827363,1872241,1913741,1938252,1968155,2015460,2068249,2128858,2174085,2204874,2223428,2279224,2321609,2379184,2417271,2493161,2553135,2620816,2671921
Washington,1166618,1186560,1210794,1243596,1276221,1321095,1367009,1411252,1437268,1469986,1515461,1555378,1597377,1638176,1686163,1714661,1742242,1776669,1816100,1858543,1915110,1968308,1982908,2008970,2046826,2097456,2142877,2188808,2232951,2250118,2272698
West Virginia,318168,319813,322461,330737,345274,358305,363429,363952,367001,370361,379579,397640,414266,417836,418889,421226,426168,435450,450766,467091,473087,474100,477015,482432,489826,501565,516309,524381,525033,530858,537000
Wisconsin,971107,984053,1001656,1024560,1059657,1098730,1128307,1150440,1155268,1171932,1199903,1240451,1323842,1324859,1346547,1356659,1373417,1405196,1441789,1488169,1542799,1570598,1584076,1605873,1647536,1701809,1752800,1794367,1819527,1829412,1850625
Wyoming,99880,99916,103398,103497,104955,110594,110971,114824,115046,116799,116948,121792,125878,129196,129287,130020,130099,130178,134295,134422,134703,134800,142012,142147,146634,146888,147098,147413,156608,156638,156910
Puerto Rico,358606,358646,365692,379079,379836,389276,399427,402670,404145,427506,428103,440880,473335,473423,473540,485504,499268,516877,535207,551935,567468,576006,582434,596224,618414,638308,662790,679657,687175,692863,708489
Total,50167651,51186679,52276187,53442776,54941685,56740160,58240515,59363564,60378381,61728270,63333714,65209541,68113913,69007870,70266535,71337623,72855994,74664787,76380791,78498895,80528506,81871322,83023412,84553040,86406636,88590651,90718608,92618444,93986739,95003040,96531404
